_time,Position X,Position Y,_value
2024-05-13 00:04:30,0.0016557615379711875,-0.0006798431265755526,503.0
2024-05-13 00:04:40,0.0018353108928586112,-0.0007685751110847914,503.0
2024-05-13 00:04:50,0.001885629769647443,-0.000748103165082235,503.0
2024-05-13 00:05:00,0.013629496212171915,-0.0010881799790982073,503.0
2024-05-13 00:05:10,0.5746331677236256,0.01144523983214926,502.0
2024-05-13 00:05:20,1.2950376195562718,0.023457303783490674,503.0
2024-05-13 00:05:30,1.2276557535754709,-0.30868457508714575,504.0
2024-05-13 00:05:40,1.1205740138701628,-1.1243268083809013,504.0
2024-05-13 00:05:50,0.916831475558971,-1.5442233122045779,504.0
2024-05-13 00:06:00,0.18613962500952053,-1.5334811777501673,503.0
2024-05-13 00:06:10,-0.699461803670152,-1.6314158562254917,501.0
2024-05-13 00:06:20,-1.5377773934883723,-1.7523143006303723,498.5
2024-05-13 00:06:30,-1.7347559001378878,-2.0474332090847955,498.0
2024-05-13 00:06:40,-1.7611538634069082,-2.8142260873633465,497.5
2024-05-13 00:06:50,-1.3556440499777307,-2.8016627533641274,498.0
2024-05-13 00:07:00,-0.5072615071119766,-2.856175059706437,498.5
2024-05-13 00:07:10,0.35694268004510904,-2.917882544056216,498.0
2024-05-13 00:07:20,1.1643859643886065,-2.9877953102375163,498.0
2024-05-13 00:07:30,1.191586729043952,-3.4133598818800484,497.0
2024-05-13 00:07:40,1.2718114277762258,-4.246863833888021,495.5
2024-05-13 00:07:50,0.9325375191897274,-4.321800088547319,495.0
2024-05-13 00:08:00,0.07036807775349534,-4.361077565413255,495.0
2024-05-13 00:08:10,-0.8633272761930684,-4.453034895216534,494.5
2024-05-13 00:08:20,-1.715306174611615,-4.5009967788172105,495.0
2024-05-13 00:08:30,-1.695266426088822,-4.946719776565705,495.0
2024-05-13 00:08:40,-1.6636788538558092,-5.726159134568182,495.0
2024-05-13 00:08:50,-1.2709740869536006,-5.715212467210873,494.5
2024-05-13 00:09:00,-0.4420160480084018,-5.731651822825323,494.0
2024-05-13 00:09:10,0.4020957098310074,-5.7436020782229535,494.0
2024-05-13 00:09:20,0.7810534924403034,-5.640143815672392,494.0
2024-05-13 00:09:30,0.6360133954814144,-5.069884309044609,494.0
2024-05-13 00:09:40,0.7159776442006738,-4.437247679802124,494.0
2024-05-13 00:09:50,0.5945841321094552,-4.570488506825126,495.0
2024-05-13 00:10:00,-0.3286280163874151,-4.654050844961566,495.0
2024-05-13 00:10:10,-1.2826144325691524,-4.7126325661101705,496.0
2024-05-13 00:10:20,-1.7135121619575397,-4.539816448900888,496.0
2024-05-13 00:10:30,-1.7542671302466852,-3.9260494312645497,496.0
2024-05-13 00:10:40,-1.6948459772211226,-3.2995745363268902,497.0
2024-05-13 00:10:50,-1.0487527584170435,-3.3643064383152606,496.5
2024-05-13 00:11:00,-0.08790759034743525,-3.2128859690223317,498.0
2024-05-13 00:11:10,0.821572213559134,-3.1135553289307434,498.0
2024-05-13 00:11:20,1.2077870959327335,-2.8322417714542016,498.0
2024-05-13 00:11:30,1.227921356856823,-2.0230459824204443,498.0
2024-05-13 00:11:40,1.18669255259049,-1.563867018630157,498.0
2024-05-13 00:11:50,0.7301995463665577,-1.633517523100232,498.0
2024-05-13 00:12:00,-0.31882927991125665,-1.7038790184653594,498.0
2024-05-13 00:12:10,-1.3580656255010384,-1.772287851302468,498.0
2024-05-13 00:12:20,-1.767108237427631,-1.6011551749640736,499.0
2024-05-13 00:12:30,-1.7565042948053258,-0.9135595512097195,499.0
2024-05-13 00:12:40,-1.6687699031518646,-0.40599481565466367,500.0
2024-05-13 00:12:50,-0.9925636185341511,-0.4298898157985255,501.0
2024-05-13 00:13:00,-0.07319920710067225,-0.3624237450849579,503.0
2024-05-13 00:13:10,0.8331042930237826,-0.2854860365137331,507.0
2024-05-13 00:13:20,1.3615720383541976,-0.2790122639824242,508.5
2024-05-13 00:13:30,1.2192495837845,-0.7633305127309976,510.0
2024-05-13 00:13:40,1.0820325504785302,-1.416748832320499,511.0
2024-05-13 00:13:50,0.5049129135324386,-1.4347343930381093,510.5
2024-05-13 00:14:00,-0.3738509298071044,-1.5948668456615362,511.0
2024-05-13 00:14:10,-1.248275276273489,-1.6746564120650291,511.0
2024-05-13 00:14:20,-1.5155955016972793,-1.9840895957510236,511.5
2024-05-13 00:14:30,-1.541157286687005,-2.7361143191057935,512.5
2024-05-13 00:14:40,-1.3143988822984243,-2.899146015492602,516.0
2024-05-13 00:14:50,-0.5479792294465006,-2.952139392733574,516.0
2024-05-13 00:15:00,0.34098529228696517,-2.997334650140965,517.0
2024-05-13 00:15:10,1.2138243237851372,-3.0224593472432804,518.0
2024-05-13 00:15:20,1.44848378267007,-3.2960569094801353,518.0
2024-05-13 00:15:30,1.5254156977326065,-3.995827742167063,518.0
2024-05-13 00:15:40,1.3174868352793403,-4.384992580834698,519.0
2024-05-13 00:15:50,0.4697862850751295,-4.487393825708745,517.5
2024-05-13 00:16:00,-0.4155927218587435,-4.620589585485821,517.0
2024-05-13 00:16:10,-1.2934098462413128,-4.776440948830511,517.0
2024-05-13 00:16:20,-1.3142459329584955,-5.1231750564076295,517.0
2024-05-13 00:16:30,-1.3034987114146799,-5.89885483697027,518.0
2024-05-13 00:16:40,-1.029406095412408,-5.934055948520628,519.0
2024-05-13 00:16:50,-0.2615991360920368,-5.9185719370603085,519.0
2024-05-13 00:17:00,0.6257779530293353,-5.920940096791203,519.0
2024-05-13 00:17:10,1.5957298059401326,-5.8736344380986125,520.0
2024-05-13 00:17:20,1.822819235567218,-5.333269235785746,520.0
2024-05-13 00:17:30,1.6295274848914028,-4.572031494840306,520.0
2024-05-13 00:17:40,1.1070114579694024,-4.495098129503135,520.0
2024-05-13 00:17:50,0.2198348712327065,-4.41080082928303,520.0
2024-05-13 00:18:00,-0.6693562717742503,-4.33201566956739,520.0
2024-05-13 00:18:10,-0.7974148350912291,-4.57813537991918,520.0
2024-05-13 00:18:20,-1.2239982516874457,-4.727614564508035,520.5
2024-05-13 00:18:30,-1.371863239645958,-4.632025279760361,521.0
2024-05-13 00:18:40,-1.355361224475031,-4.048805527433843,522.0
2024-05-13 00:18:50,-1.377587293861504,-3.355894873315529,522.0
2024-05-13 00:19:00,-0.5972216923694953,-3.2596034358543564,522.0
2024-05-13 00:19:10,0.4925582078331692,-3.0407621459951373,522.0
2024-05-13 00:19:20,1.396022212189909,-2.825496031175062,522.0
2024-05-13 00:19:30,1.4135754974428303,-2.31562462204205,522.0
2024-05-13 00:19:40,1.365975415832244,-1.4170785333664047,522.0
2024-05-13 00:19:50,1.0733629093810264,-1.4544522504581165,521.0
2024-05-13 00:20:00,0.2887430876196127,-1.6877277652898472,521.0
2024-05-13 00:20:10,-0.5946235440096023,-1.8629607851192012,520.5
2024-05-13 00:20:20,-1.3745722840603134,-1.902011329727364,521.0
2024-05-13 00:20:30,-1.4066288672492118,-1.5236044529683603,522.0
2024-05-13 00:20:40,-1.5129654036095395,-0.6822090487234557,522.0
2024-05-13 00:20:50,-1.3349057328593623,-0.33874742885878134,523.0
2024-05-13 00:21:00,-0.5568449504213661,-0.3173686441649041,524.5
2024-05-13 00:21:10,0.32688382814987327,-0.23193217211501868,529.5
2024-05-13 00:21:20,1.168085280565665,-0.10200637645985944,532.0
2024-05-13 00:21:30,1.36605157272009,-0.3333096507095763,532.0
2024-05-13 00:21:40,1.3869722772549677,-1.0694849420260717,532.5
2024-05-13 00:21:50,1.1936219182153165,-1.4145201078747793,533.0
2024-05-13 00:22:00,0.47027510145407675,-1.450840031262019,533.0
2024-05-13 00:22:10,-0.4349857225051369,-1.554750326274336,532.0
2024-05-13 00:22:20,-1.3287446723810992,-1.669296159157202,532.0
2024-05-13 00:22:30,-1.6090999698495723,-1.9800541053663145,532.0
2024-05-13 00:22:40,-1.5427791269994906,-2.7828132529913963,532.0
2024-05-13 00:22:50,-1.3064391164851368,-3.172407838993503,533.0
2024-05-13 00:23:00,-0.5243838353073703,-3.0007248329509215,533.5
2024-05-13 00:23:10,0.4414421096433016,-2.882383755429298,533.0
2024-05-13 00:23:20,1.317274595057214,-2.815302013040899,533.0
2024-05-13 00:23:30,1.7400779993825368,-2.9219799202371926,532.0
2024-05-13 00:23:40,1.660879989972987,-3.444603465135235,531.5
2024-05-13 00:23:50,1.6085536872941055,-4.193280178645422,531.0
2024-05-13 00:24:00,1.092590241564711,-4.200137668212295,529.5
2024-05-13 00:24:10,0.15263223173686877,-4.342292115682349,529.0
